 1.10000000e+00  6.91086600e-02  1.10000000e+00  7.29858100e-01  1.10000000e+00  2.05521900e-01 
 1.05000000e+00  6.29835000e-02  1.05000000e+00  6.73601900e-01  1.05000000e+00  1.91658800e-01 
 1.00000000e+00  5.69028800e-02  1.00000000e+00  6.15961100e-01  1.00000000e+00  1.77881100e-01 
 9.50000000e-01  5.08756500e-02  9.50000000e-01  5.57109500e-01  9.50000000e-01  1.64171500e-01 
 9.00000000e-01  4.49121100e-02  9.00000000e-01  4.97382500e-01  9.00000000e-01  1.50487400e-01 
 8.50000000e-01  3.90270200e-02  8.50000000e-01  4.37161000e-01  8.50000000e-01  1.36836700e-01 
 8.00000000e-01  3.32407300e-02  8.00000000e-01  3.76786600e-01  8.00000000e-01  1.23239500e-01 
 7.50000000e-01  2.75844600e-02  7.50000000e-01  3.16609100e-01  7.50000000e-01  1.09782400e-01 
 7.00000000e-01  2.21074900e-02  7.00000000e-01  2.57107000e-01  7.00000000e-01  9.65420800e-02 
 6.50000000e-01  1.68920300e-02  6.50000000e-01  1.99075700e-01  6.50000000e-01  8.37068900e-02 
 6.00000000e-01  1.20768300e-02  6.00000000e-01  1.43935900e-01  6.00000000e-01  7.15866100e-02 
